фу	fu		fū 夫,肤,敷,孵,趺,呋,跗,麸,膚,稃,鄜,鈇,綒,麩,伕,尃	fú 服,夫,福,佛,符,弗,伏,幅,浮,扶,俘,辐,拂,芙,蝠,袱,孚,氟,匐,苻,茯,蚨,郛,芾,凫,涪,砩,菔,罘,蜉,怫,莩,桴,绂,祓,黻,茀,幞,绋,笰,鮄,袚,葍,鶝,綍,襆,艴,虙,韨,髴,韍,纀,豧,輻,払,畐	fǔ 府,腐,抚,辅,甫,俯,斧,脯,腑,釜,拊,呒,黼,輔,頫,滏,鯆,郙,釡,簠,撫,阝	fù 服,复,父,负,富,副,付,附,妇,腹,赋,覆,赴,傅,咐,缚,阜,驸,蝮,馥,讣,鲋,褔,複,赙,負,袝,賦,祔,鳆,禣,訃,鍑,蕧,縛,復,婦,彿	
га	ga		gā 旮	gá 嘎,轧,噶,钆,尜,軋	gǎ 尕	gà 尬	
гай	gai		gāi 该,赅,垓,陔,該,荄,賅		gǎi 改	gài 概,盖,丐,钙,溉,芥,蓋,戤,鈣,葢,匃	
гань	gan		gān 干,甘,肝,杆,尴,竿,柑,苷,矸,酐,泔,疳,坩,筸,粓,尷		gǎn 感,敢,赶,杆,橄,秆,擀,鳡,簳,澉,鱤,趕,稈,桿	gàn 干,赣,淦,绀,旰,簳,紺,幹,榦	
ган	gang		gāng 刚,钢,纲,冈,缸,扛,杠,肛,罡,綱,舡,鋼,罁,釭,笐,岡,剛,摃		gǎng 港,岗,崗	gàng 杠,戆,筻,槓	
гао	gao		gāo 高,糕,膏,睾,羔,皋,篙,槔,鷱,臯,韟,羙,皐		gǎo 搞,稿,镐,槁,杲,缟,藁,菒,縞,藳	gào 告,膏,诰,锆,郜,誥,祮,筶,禞,祰	
гэ	ge		gē 哥,歌,割,戈,搁,胳,鸽,咯,疙,圪,纥,袼,仡,鴿,紇,擱	gé 格,革,隔,阁,葛,搁,骼,蛤,嗝,镉,搿,騔,膈,鬲,茖,閤,閣,轕,裓,塥,輵,鎘,擱	gě 合,盖,葛,舸,哿,蓋	gè 个,各,铬,虼,硌,箇,個	
гэй	gei		gēi 克		gěi 给,給		
гэнь	gen		gēn 根,跟	gén 哏	gěn 艮	gèn 亘,艮,茛	
гэн	geng		gēng 更,耕,庚,赓,羹,絙,鶊,鹒,縆,賡,羮		gěng 耿,梗,哽,埂,鲠,绠,鯁,骾	gèng 更,縆	
